session,bias,target,n,win,pf,exp,total,t,avg_r,hold,tgt,stp
asia,sma20,1R,81,0.4691358024691358,0.5642384105960121,-0.5280246913580559,-42.770000000002526,-1.741825587436523,-0.29170219283912135,44.01234567901235,0.4444444444444444,0.5061728395061729
asia,sma20,2R,81,0.345679012345679,0.6042979200828352,-0.5660493827160853,-45.85000000000291,-1.5840217205853044,-0.26870941664894493,72.96296296296296,0.2716049382716049,0.6172839506172839
asia,sma20,3R,81,0.2839506172839506,0.5974232543343245,-0.6249382716049767,-50.62000000000312,-1.4340137836993323,-0.25662641165813677,86.48148148148148,0.19753086419753085,0.6790123456790124
asia,sma20,opp,81,0.20987654320987653,0.5065042484397196,-0.8102469135802853,-65.63000000000311,-1.5871360758793394,-0.4744163733036335,108.08641975308642,0.012345679012345678,0.7407407407407407
asia,sma20,session_end,81,0.20987654320987653,0.5037220843672339,-0.8148148148148519,-66.000000000003,-1.6129314222940352,-0.4767469351580044,108.20987654320987,0.0,0.7407407407407407
asia,mom20,1R,79,0.46835443037974683,0.556679964970313,-0.5767088607595122,-45.560000000001466,-1.6722922257032196,-0.28446323376917915,46.075949367088604,0.4430379746835443,0.5063291139240507
asia,mom20,2R,79,0.3037974683544304,0.4816666666666651,-0.8267088607595036,-65.31000000000078,-2.3140286532396077,-0.38798808092737475,70.82278481012658,0.22784810126582278,0.6582278481012658
asia,mom20,3R,79,0.25316455696202533,0.5336479902557852,-0.7754430379746912,-61.2600000000006,-1.9736070112355075,-0.3755991770760397,84.49367088607595,0.16455696202531644,0.7088607594936709
asia,mom20,opp,79,0.189873417721519,0.41355242111385254,-1.0210126582278685,-80.6600000000016,-2.443833012571005,-0.6102620450113124,104.74683544303798,0.0,0.759493670886076
asia,mom20,session_end,79,0.189873417721519,0.41355242111385254,-1.0210126582278685,-80.6600000000016,-2.443833012571005,-0.6102620450113124,104.74683544303798,0.0,0.759493670886076
asia,hhll,1R,71,0.49295774647887325,0.7181588143149733,-0.3294366197183182,-23.390000000000594,-0.7661426696398285,-0.2308998384325659,46.76056338028169,0.4647887323943662,0.4788732394366197
asia,hhll,2R,71,0.30985915492957744,0.5339115991510576,-0.7114084507042289,-50.51000000000025,-1.9013758885430974,-0.385755162175362,83.38028169014085,0.2112676056338028,0.647887323943662
asia,hhll,3R,71,0.2535211267605634,0.5832599118942743,-0.6661971830985945,-47.30000000000021,-1.6319093185250433,-0.3998396692176156,93.94366197183099,0.15492957746478872,0.704225352112676
asia,hhll,opp,71,0.18309859154929578,0.45299073996829414,-0.9235211267605821,-65.57000000000133,-2.034977553306191,-0.6331197563475609,110.98591549295774,0.014084507042253521,0.7605633802816901
asia,hhll,session_end,71,0.18309859154929578,0.4499040627346253,-0.9287323943662144,-65.94000000000122,-2.067388302688681,-0.6357785663504348,111.12676056338029,0.0,0.7605633802816901
london,sma20,1R,192,0.4166666666666667,0.5490505082341749,-0.5961458333333435,-114.46000000000195,-3.6721378420134676,-0.39544322388256775,25.755208333333332,0.4166666666666667,0.5833333333333334
london,sma20,2R,192,0.2708333333333333,0.5879575344636222,-0.6771875000000218,-130.0200000000042,-3.0287250915478916,-0.42981393181801514,53.619791666666664,0.2604166666666667,0.7291666666666666
london,sma20,3R,192,0.1875,0.5510174876212727,-0.8170312500000178,-156.87000000000342,-3.3332227340818354,-0.5111532175323014,70.96354166666667,0.171875,0.8125
london,sma20,opp,192,0.11979166666666667,0.5095820701602447,-0.9436458333333272,-181.1799999999988,-3.26793896877889,-0.40587316828970926,93.359375,0.08333333333333333,0.8802083333333334
london,sma20,session_end,192,0.09895833333333333,0.4733369277773513,-1.0683854166666606,-205.12999999999886,-2.274272926153369,-0.4976895881777709,107.76041666666667,0.0,0.9010416666666666
london,mom20,1R,200,0.42,0.5360296102093575,-0.6016999999999972,-120.33999999999945,-3.837288304606779,-0.3924924706124538,28.325,0.42,0.58
london,mom20,2R,200,0.28,0.5987477582355372,-0.6376499999999999,-127.52999999999999,-3.1139684616287027,-0.4099136375868052,52.9,0.265,0.72
london,mom20,3R,200,0.205,0.6134252581780464,-0.6700499999999954,-134.00999999999908,-2.79322408844994,-0.4529993518725199,66.65,0.185,0.795
london,mom20,opp,200,0.135,0.6311189763136362,-0.6774500000000104,-135.49000000000208,-2.4810972189923937,-0.3124438264444076,89.725,0.09,0.865
london,mom20,session_end,200,0.115,0.7377201590826871,-0.5078000000000111,-101.56000000000222,-1.0058891006502324,-0.18822748531519526,110.175,0.0,0.885
london,hhll,1R,158,0.4620253164556962,0.6093221585061026,-0.5044936708860798,-79.7100000000006,-2.6532948102537404,-0.30413687885298746,32.563291139240505,0.4620253164556962,0.5379746835443038
london,hhll,2R,158,0.310126582278481,0.7402833272793276,-0.4072784810126686,-64.35000000000164,-1.9135529141790726,-0.31985987502305263,62.848101265822784,0.2911392405063291,0.689873417721519
london,hhll,3R,158,0.2088607594936709,0.7164458525345617,-0.498481012658233,-78.76000000000082,-2.051589571890107,-0.44401900703028646,79.84177215189874,0.18354430379746836,0.7911392405063291
london,hhll,opp,158,0.14556962025316456,0.6399393837346298,-0.6767088607595095,-106.9200000000025,-2.3680857501171797,-0.353614384184203,102.21518987341773,0.0949367088607595,0.8544303797468354
london,hhll,session_end,158,0.13291139240506328,0.6571767877776291,-0.6760126582278646,-106.8100000000026,-1.9307132417229889,-0.29194857232903876,123.00632911392405,0.0,0.8670886075949367
ny,sma20,1R,185,0.4918918918918919,0.9742402227872589,-0.04600000000000619,-8.510000000001146,-0.21142832970715034,-0.14473327325586077,41.0,0.4756756756756757,0.4810810810810811
ny,sma20,2R,185,0.34594594594594597,0.9413915888749871,-0.1316756756756777,-24.360000000000376,-0.33550885304926226,-0.17585105245804508,90.56756756756756,0.22702702702702704,0.6
ny,sma20,3R,185,0.31351351351351353,1.0023213054470184,0.005459459459447005,1.0099999999976959,0.012934367586186636,-0.1213252298035577,106.37837837837837,0.15675675675675677,0.6324324324324324
ny,sma20,opp,185,0.2810810810810811,0.8941925039908235,-0.2543783783783856,-47.06000000000134,-0.6399293895537912,-0.24377476676896095,135.75675675675674,0.016216216216216217,0.6648648648648648
ny,sma20,session_end,185,0.2810810810810811,0.9993030105447728,-0.0016756756756826589,-0.3100000000012919,-0.03142150238744029,-0.21107628552905122,139.7027027027027,0.0,0.6648648648648648
ny,mom20,1R,179,0.4860335195530726,1.0370168578937247,0.06452513966480439,11.549999999999986,0.0783973837396921,-0.1471172597551416,37.98882681564246,0.48044692737430167,0.4860335195530726
ny,mom20,2R,179,0.3463687150837989,1.0283999376396609,0.061061452513965685,10.929999999999858,0.15319122051492393,-0.16757333372997532,89.02234636871508,0.22905027932960895,0.5977653631284916
ny,mom20,3R,179,0.31843575418994413,1.108658235426172,0.24335195530725087,43.559999999997906,0.48859157691331256,-0.09951281263154166,105.33519553072625,0.16201117318435754,0.6256983240223464
ny,mom20,opp,179,0.27932960893854747,0.9143828187142996,-0.19843575418993514,-35.51999999999839,-0.5952982681344096,-0.28187008807420993,132.84916201117318,0.0223463687150838,0.664804469273743
ny,mom20,session_end,179,0.27932960893854747,1.0197411237255078,0.04575418994414204,8.190000000001426,-0.019244298211264478,-0.2520343656118715,137.93296089385476,0.0,0.664804469273743
ny,hhll,1R,141,0.46808510638297873,0.8544800906568761,-0.26411347517729566,-37.23999999999869,-0.9020234911915347,-0.18805203596095504,41.13475177304964,0.46099290780141844,0.48936170212765956
ny,hhll,2R,141,0.3049645390070922,0.7839632438556218,-0.4868794326241048,-68.64999999999878,-1.067079391988156,-0.2766976884776274,86.63120567375887,0.2127659574468085,0.624113475177305
ny,hhll,3R,141,0.2765957446808511,0.8227821300021205,-0.4155319148936072,-58.58999999999861,-0.8700254787585732,-0.23347295528640027,102.73049645390071,0.14184397163120568,0.6524822695035462
ny,hhll,opp,141,0.24113475177304963,0.6940318341552725,-0.734822695035459,-103.60999999999973,-1.6991962202087005,-0.42408672947718434,128.93617021276594,0.014184397163120567,0.6879432624113475
ny,hhll,session_end,141,0.24113475177304963,0.796857927531524,-0.48787234042553046,-68.7899999999998,-0.9394864226753868,-0.38657363431464303,131.98581560283688,0.0,0.6879432624113475
