range,exit,filter,n,win,pf,exp,total,t,hold,tgt,stp
5,ny+30m,all,1109,0.44634806131650134,0.8917055142040309,-0.1516591523895434,-168.1900000000036,-1.4953364391393302,11.91614066726781,0.0,0.33724075743913434
5,ny+30m,corr<=0.5,698,0.4369627507163324,0.8580570158743199,-0.19766475644699494,-137.97000000000247,-1.7703542692181078,11.74785100286533,0.0,0.333810888252149
5,ny+30m,corr>0.5,411,0.46228710462287104,0.9479924966010954,-0.07352798053528277,-30.220000000001217,-0.2346834043314179,12.201946472019465,0.0,0.34306569343065696
5,ny+60m,all,1234,0.37844408427876824,0.9056179492450533,-0.18230956239870252,-224.96999999999892,-1.2407384338013099,26.166936790923824,0.0,0.513776337115073
5,ny+60m,corr<=0.5,760,0.3828947368421053,0.900889182392455,-0.1954999999999991,-148.5799999999993,-1.106160379895851,26.355263157894736,0.0,0.5157894736842106
5,ny+60m,corr>0.5,474,0.37130801687763715,0.9136328690303912,-0.16116033755274187,-76.38999999999965,-0.6158928420306711,25.864978902953588,0.0,0.510548523206751
5,ny+90m,all,1250,0.3392,0.9570868793468515,-0.0922560000000002,-115.32000000000025,-0.7370257566559707,38.924,0.0,0.584
5,ny+90m,corr<=0.5,771,0.3411154345006485,0.9616903237229626,-0.08418936446173649,-64.90999999999883,-0.5782148589357977,38.98184176394293,0.0,0.5849546044098574
5,ny+90m,corr>0.5,479,0.33611691022964507,0.9492315749189262,-0.10524008350730997,-50.410000000001475,-0.4570580702231491,38.83089770354906,0.0,0.5824634655532359
5,ny+2h,all,1251,0.30935251798561153,0.9377111149644527,-0.14357314148681172,-179.61000000000146,-0.9354270693884298,50.59152677857714,0.0,0.6243005595523581
5,ny+2h,corr<=0.5,772,0.31088082901554404,0.9528867042636772,-0.11124352331606095,-85.87999999999906,-0.580814098235708,50.62823834196891,0.0,0.6230569948186528
5,ny+2h,corr>0.5,479,0.3068893528183716,0.911630494220578,-0.1956784968684808,-93.7300000000023,-0.7689106599373484,50.53235908141962,0.0,0.6263048016701461
5,ny_lunch,all,1251,0.29896083133493206,0.9400038674917321,-0.14384492406075106,-179.94999999999956,-0.9066229234976326,61.17505995203837,0.0,0.6562749800159872
5,ny_lunch,corr<=0.5,772,0.3069948186528497,0.9386531584590934,-0.1504404145077702,-116.13999999999861,-0.752478571547703,61.262953367875646,0.0,0.6580310880829016
5,ny_lunch,corr>0.5,479,0.2860125260960334,0.9423155154177847,-0.13321503131524198,-63.810000000000905,-0.512765508539772,61.03340292275574,0.0,0.6534446764091858
5,ny_close,all,1241,0.2610797743755036,0.9395631172772887,-0.1578887993553546,-195.93999999999505,-0.9907645646736223,133.08219178082192,0.0,0.717163577759871
